full_name,abbr_name,erc20_contract
EOS,EOS,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0
Tronix,TRX,0xf230b790e05390fc8295f4d3f60332c93bed42e2
VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1
BNB,BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52
OmiseGO,OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07
ICON,ICX,0xb5a5f22694352c15b00323844ad545abb2b11028
Zilliqa,ZIL,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
Aeternity,AE,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
ZRX,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
Bytom,BTM,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750
Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
Golem,GNT,0xa74476443119a942de498590fe1f2454d7d4ac0d
RHOC,RHOC,0x168296bb09e24a88805cb9c33356536b980d3fc5
REP,REP,0xe94327d07fc17907b4db788e5adf2ed424addff6
Populous,PPT,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a
Walton,WTC,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74
IOSToken,IOST,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab
StatusNetwork,SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e
Nebulas,NAS,0x5d65d971895edc438f465c17db6992698a52318d
AION,AION,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466
DGD,DGD,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a
Loopring,LRC,0xef68e7c694f40c8202821edf525de3782458639f
HuobiToken,HT,0x6f259637dcd74c767781e37bc6133cd6a68aa161
BAT,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
ELF,ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
CyberMiles,CMT,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f
Bancor,BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c
Dentacoin,Dentacoin,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6
Loom,LOOM,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0
KyberNetwork,KNC,0xdd974d5c2e2928dea5f71b9825b8b646686bd200
Cortex Coin,CTXC,0xea11755ae41d889ceec39a63e6ff75a02bc1c00d
Polymath,POLY,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
Ethos,ETHOS,0x5af2be193a6abca9c8817001f45744777db30756
QASH,QASH,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6
Veritaseum,VERI,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374
FunFair,FUN,0x419d0d8bdd9af5e606ae2232ed285aff190e711b
Centrality Token,CENNZ,0x1122b6a0e00dce0563082b6e2953f3a943855c1f
Theta Token,THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645
Fusion,FSN,0xd0352a019e9ab9d757776f532377aaebd36fd541
Enigma,ENG,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4
Substratum,SUB,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a
Nuls,NULS,0xb91318f35bdb262e9423bc7c7c2a3a93dd93c92c
Dragon,DRGN,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e
Kin,KIN,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5
All Sports Coin,SOC,0x2d0e95bd4795d7ace0da3c0ff7b706a5970eb9d3
BIX Token,BIX,0xb3104b4b9da82025e8b9f8fb28b3553ce2f67069
Storm,STORM,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433
HoloToken,HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
RLC,RLC,0x607f4c5bb672230e8672085532f7e901544a7375
PowerLedger,POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269
Gifto,GTO,0xc5bbae50781be1669306b9e001eff57a2957b09d
WAX Token,WAX,0x39bb259f66e1c59d5abef88375979b4d20d98022
MATRIX AI Network,MAN,0xe25bcec5d3801ce3a794079bf94adf1b8ccd802d
Salt,SALT,0x4156d3342d5c385a87d264f90653733592000581
HPBCoin,HPB,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2
ChainLink Token,LINK,0x514910771af9ca656af840dff83e8264ecf986ca
Decentraland,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
Monaco,MCO,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d
Storj,STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac
TenXPay,PAY,0xb97048628db6b661d4c2aa833e95dbe1a905b280
Civic,CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
Nexo,NEXO,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
NucleusVision,nCash,0x809826cceab68c387726af962713b64cb5cb3cca
Quantstamp,QSP,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d
DENT,DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258
SingularityNET,AGI,0x8eb24319393716668d768dcec29356ae9cffe285
Request,REQ,0x8f8221afbb33998d8584a2b05749ba73c37a938a
ICONOMI,ICN,0x888666ca69e0f178ded6d75b5726cee99a87d698
RUFF,RUFF,0xf278c1ca969095ffddded020290cf8b5c424ace2
Cindicator,CND,0xd4c435f5b09f855c3317c8524cb1f586e42795fa
Revain,R,0x48f775efbe4f5ece6e0df2f7b5932df56823b990
Lympo,LYM,0x57ad67acf9bf015e4820fbd66ea1a21bed8852ec
ArcBlock,ABT,0xb98d4c97425d9908e66e53a6fdf673acca0be986
EnjinCoin,ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
Bluzelle,BLZ,0x5732046a883704404f284ce41ffadd5b007fd668
I HOUSE TOKEN,IHT,0xeda8b016efa8b1161208cf041cd86972eee0f31e
Aragon,ANT,0x960b236a07cf122663c4303350609a66a7b288c0
Gnosis,GNO,0x6810e776880c02933d47db1b9fc05908e5386b96
Game.com Token,GTC,0xb70835d7822ebb9426b56543e391846c107bd32c
POA ERC20 on Foundation,POA20,0x6758b7d441a9739b98552b373703d8d3d14f9e62
DATAcoin,DATA,0x0cf0ee63788a0849fe5297f3407f701e122cc023
SAN,SAN,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098
Storiqa,STQ,0x5c3a228510d246b78a3765c20221cbf3082b44a4
SONM,SNM,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63
SIRIN,SRN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25
Metal,MTL,0xf433089366899d83a9f26a773d59ec7ecf30355e
SPHTX,SPHTX,0x3833dda0aeb6947b98ce454d89366cba8cc55528
Medical Token Currency,MTC,0x905e337c6c8645263d3521205aa37bf4d034e745
CyberVeinToken,CVT,0xbe428c3867f05dea2a89fc76a102b544eac7f772
CREDITS,CS,0x46b9ad944d1059450da1163511069c718f699d31
Genaro X,GNX,0x6ec8a24cabdc339a06a172f8223ea557055adaa5
PILLAR,PLR,0xe3818504c1b32bf1557b16c238b2e01fd3149c17
Po.et,POE,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195
Raiden,RDN,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6
Genesis Vision,GVT,0x103c3a209da59d3e7c4a89307e66521e081cfdf0
IOT Chain,ITC,0x5e6b6d9abad9093fdc861ea1600eba1b355cd940
Crypterium,CRPT,0x80a7e048f37a50500351c204cb407766fa3bae7f
Amber,AMB,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce
BLOCKv,VEE,0x340d2bde5eb28c1eed91b2f790723e3b160613b7
Trace,TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
Crypto20,C20,0x26e75307fc0c021472feb8f727839531f112f317
Jibrel Network Token,JNT,0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7
Eximchain Token,EXC,0x00c4b398500645eb5da00a1a379a88b11683ba01
CUBE,AUTO,0x622dffcc4e83c64ba959530a5a5580687a57581b
Trade,TIO,0x80bc5512561c7f85a3a9508c7df7901b370fa1df
EDUCare,EKT,0xbab165df9455aa0f2aed1f2565520b91ddadb4c8
Republic,REN,0x408e41876cccdc0f92210600ef50372656052a38
Bread,BRD,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6
EthLend,LEND,0x80fb784b7ed66730e8b1dbd9820afd29931aab03
DAEX Token,DAX,0x0b4bdc478791897274652dc15ef5c135cae61e60
Simple Token,ST,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca
AdEx,ADX,0x4470bb87d77b963a013db939be332f927f2b992e
Telcoin,TEL,0x85e076361cc813a908ff672f9bad1541474402b2
TrueUSD,TUSD,0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
PayPie,PPP,0xc42209accc14029c1012fb5680d95fbd6036e2a0
Eidoo,EDO,0xced4e93198734ddaff8492d525bd258d49eb388e
RNTB Token,RNTB,0x1fe70be734e473e5721ea57c8b5b01e6caa52686
Edgeless,EDG,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c
Dai Stablecoin v1.0,DAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
Rock,RKT,0x106aa49295b525fcf959aa75ec3f7dcbf5352f1c
Tomocoin,TOMO,0x8b353021189375591723e7384262f45709a3c3dc
BAX,BAX,0x9a0242b7a33dacbe40edb927834f96eb39f8fbcb
RipioCreditNetwork,RCN,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6
AirSwap,AST,0x27054b13b1b798b345b591a4d22e6562d47ea75a
QRL,QRL,0x697beac28b09e122c4332d163985e8a73121b97f
Zebi Coin,ZCO,0x2008e3057bd734e10ad13c9eae45ff132abc1722
Hydro Protocol,HOT,0x9af839687f6c94542ac5ece2e317daae355493a1
Tokenomy,TEN,0xdd16ec0f66e54d453e6756713e533355989040e4
SPANK,SPANK,0x42d6622dece394b54999fbd73d108123806f6a18
Oyster Pearl,PRL,0x1844b21593262668b7248d0f57a220caaba46ab9
FuzeX,FXT,0x1829aa045e21e0d59580024a951db48096e01782
TokenCard,TKN,0xaaaf91d9b90df800df4f55c205fd6989c977e73a
district0x,DNT,0x0abdace70d3790235af448c88547603b945604ea
SNGLS,SNGLS,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009
WINGS,WINGS,0x667088b212ce3d06a1b553a7221e1fd19000d9af
LGO,LGO,0x123ab195dd38b1b40510d467a6a359b201af056f
WePower,WPR,0x4cf488387f035ff08c371515562cba712f9015d4
OCoin,OCN,0x4092678e4e78230f46a1534c0fbc8fa39780892b
AppCoins,APPC,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db
Internet Node Token,INT,0x0b76544f6c413a555f309bf76260d1e02377c02a
WaBi,WaBi,0x286bda1413a2df81731d4930ce2f862a35a609fe
Havven,HAV,0xf244176246168f24e3187f7288edbca29267739b
UTRUST,UTK,0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38
INS,INS,0x5b2e4a700dfbc560061e957edec8f6eeeb74a320
DATx,DATx,0xabbbb6447b68ffd6141da77c18c7b5876ed6c5ab
ODEM Token,ODEM,0xbf52f2ab39e26e0951d2a02b49b7702abe30406a
DataWallet,DXT,0x8db54ca569d3019a2ba126d03c37c44b5ef81ef6
NANJCOIN,NANJ,0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265
KickCoin,KICK,0x27695e09149adc738a978e9a678f99e4c39e9eb9
Tierion Network Token,TNT,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8
NAGA Coin,NGC,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131
Primas,PST,0xe3fedaecd47aa8eab6b23227b0ee56f092c967a9
Vibe Coin,VIBE,0xe8ff5c9c75deb346acac493c463c8950be03dfba
Decent.Bet,DBET,0x9b68bfae21df5a510931a262cecf63f41338f264
CPChain,CPC,0xfae4ee59cdd86e3be9e8b90b53aa866327d7c090
Modum Token,MOD,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e
MobileGo,MGO,0x40395044ac3c0c57051906da938b54bd6557f212
Swarm Fund,SWM,0x9e88613418cf03dca54d6a2cf6ad934a78c7a17a
Presearch,PRE,0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa
Soarcoin,Soar,0xd65960facb8e4a2dfcb2c2212cb2e44a02e2a57e
BANCA,BANCA,0x998b3b82bc9dba173990be7afb772788b5acb8bd
UTN-P: Universa Token,UTNP,0x9e3319636e2126e3c0bc9e3134aec5e1508a46c7
TAAS,TAAS,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c
Lunyr,LUN,0xfa05a73ffe78ef8f1a739473e462c54bae6567d9
BCAP,BCAP,0xff3519eeeea3e76f1f699ccce5e23ee0bdda41ac
UNetworkToken,UUU,0x3543638ed4a9006e4840b105944271bcea15605d
CoinDash,CDT,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af
Cashaa,CAS,0xe8780b48bdb05f928697a5e8155f672ed91462f7
YOYOW,YOYOW,0xcbeaec699431857fdb4d37addbbdc20e132d4903
QunQunCommunities,QUN,0x264dc2dedcdcbb897561a57cba5085ca416fb7b4
Fuel Token,FUEL,0xea38eaa3c86c8f9b751533ba2e562deb9acded40
ElectrifyAsia,ELEC,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9
SENTinel,SENT,0xa44e5137293e855b1b7bc7e2c6f8cd796ffcb037
Dock,DOCK,0xe5dada80aa6477e85d09747f2842f7993d0df71c
iXledger,IXT,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094
Melon,MLN,0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1
COSS,COSS,0x9e96604445ec19ffed9a5e8dd7b50a29c899a10c
BLOCKMASON CREDIT PROTOCOL TOKEN,BCPT,0x1c4481750daa5ff521a2a7490d9981ed46465dbd
VIB,VIB,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724
XinFin XDCE,XDCE,0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
Maecenas ART Token,ART,0xfec0cf7fe078a500abf15f1284958f22049c2c7e
Refereum,RFR,0xd0929d411954c47438dc1d871dd6081f5c5e149c
Datum,DAT,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c
Spectre.ai D-Token,SXDT,0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf
Hive Project Token,HVN,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d
Propy,PRO,0x226bb599a12c826476e3a771454697ea52e9e220
UnikoinGold,UKG,0x24692791bc444c5cd0b81e3cbcaba4b04acd1f3b
FirstBlood,ST,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7
NeuroToken,NTK,0x69beab403438253f13b6e92db91f7fb849258263
Aurora DAO,AURA,0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814
BANKEX,BKX,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b
MedToken,MTN,0x41dbecc1cdc5517c6f76f6a6e836adbee2754de3
Cobinhood,COB,0xb2f7eb1f2c37645be61d73953035360e768d81e6
Credo Token,CREDO,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be
Mothership,MSP,0x68aa3f232da9bdc2343465545794ef3eea5209bd
Humaniq,HMQ,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908
FOTA,FOTA,0x4270bb238f6dd8b1c3ca01f96ca65b2647c06d3c
Decision Token,HST,0x554c20b7c486beee439277b4540a434566dc4c02
ZeusShieldCoin,ZSC,0x7a41e0517a5eca4fdbc7fbeba4d4c47b9ff6dc63
Cofoundit,CFI,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e
Bloom,BLT,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e
Proxeus,XES,0xa017ac5fac5941f95010b12570b812c974469c2c
Stox,STX,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45
STK,STK,0xae73b38d1c9a8b274127ec30160a4927c4d71824
Polybius,PLBT,0x0affa06e7fbe5bc9a764c979aa66e8256a631f02
AdToken,ADT,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd
SunContract,SNC,0xf4134146af2d511dd5ea8cdb1c4ac88c57d60404
Everex,EVX,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8
Lamden Tau,TAU,0xc27a2f05fa577a83ba0fdb4c38443c0718356501
GRID,GRID,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd
Guppy,Guppy,0xf7b098298f7c69fc14610bf71d5e02c60792894c
TIME,TIME,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53
LALA,LALA,0xfd107b473ab90e8fbd89872144a3dc92c40fa8c9
DMarket,DMT,0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1
Sentinel Chain,SENC,0xa13f0743951b4f6e3e3aa039f682e17279f52bc3
Aeron,ARN,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6
Monetha,MTH,0xaf4dce16da2877f8c9e00544c93b62ac40631f16
Envion,EVN,0xd780ae2bf04cd96e577d3d014762f831d97129d0
Pro,PRO,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01
Cappasity,CAPP,0x04f2e7221fdb1b52a68169b25793e51478ff0329
Moeda Loyalty Points,MDA,0x51db5ad35c671a87207d88fc11d593ac0c8415bd
Blackmoon Crypto Token,BMC,0xdf6ef343350780bf8c3410bf062e0c015b1dd671
BBN,BBN,0x35a69642857083ba2f30bfab735dacc7f0bac969
MORPH,MORPH,0x2ef27bf41236bd859a95209e17a43fbd26851f92
UpToken,UP,0x6ba460ab75cd2c56343b3517ffeba60748654d26
DADI,DADI,0xfb2f26f266fb2805a387230f2aa0a331b4d96fba
Delta,DLT,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f
Blocktix,TIX,0xea1f346faf023f974eb5adaf088bbcdf02d761f4
SelfKey,KEY,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7
OpenANX,OAX,0x701c244b988a513c945973defa05de933b23fe1d
Hms Token,HMC,0xaa0bb10cec1fa372eb3abc17c933fc6ba863dd9e
Measurable Data Token,MDT,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26
RED MWAT,MWAT,0x6425c6be902d692ae2db752b3c268afadb099d3b
cVToken,cV,0xda6cb58a0d0c01610a29c5a65c303e13e885887c
Covesting,COV,0xe2fb6529ef566a080e6d23de0bd351311087d567
OneRoot Network,RNT,0xff603f43946a3a28df5e6a73172555d8c8b02386
ICO,Â¢,0xa33e729bf4fdeb868b534e1f20523463d9c46bee
DAOstack,GEN,0x543ff227f64aa17ea132bf9886cab5db55dcaddf
Quantum,QAU,0x671abbe5ce652491985342e85428eb1b07bc6c64
Blockport,BPT,0x327682779bab2bf4d1337e8974ab9de8275a7ca8
Numeraire,NMR,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671
SwissBorg,CHSB,0xba9d4199fab4f26efe3551d490e3821486f135ba
Poker Chips,CHP,0xf3db7560e820834658b590c96234c333cd3d5e5e
AirToken,AIR,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488
EXRP Network,EXRN,0xe469c4473af82217b30cf17b10bcdb6c8c796e75
indaHash Coin,IDH,0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0
EchoLink,EKO,0xa6a840e50bcaa50da017b91a0d86b8b2d41156ee
Fidelium Token,FID,0x52fb36c83ad33c1824912fc81071ca5eeb8ab390
LAtoken,LA,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf
Sakura Bloom,SKB,0x4af328c52921706dcb739f25786210499169afe6
Rialto,XRL,0xb24754be79281553dc1adc160ddf5cd9b74361a4
REMME,REM,0x83984d6142934bb535793a82adb0a46ef0f66b6d
Uquid Coin,UQC,0xd01db73e047855efb414e6202098c4be4cd2423b
HeroNodeToken,HER,0x491c9a23db85623eed455a8efdd6aba9b911c5df
MOT,MOT,0x263c618480dbe35c300d8d5ecda19bbb986acaed
Better Betting,BETR,0x763186eb8d4856d536ed4478302971214febc6a9
UniBright,UBT,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e
